,cpu_percent,cpu_times_user,cpu_times_system,cpu_times_children_user,cpu_times_children_system,memory_percent,disk_usage_total,disk_usage_used,disk_usage_free,memory_full_info_rss,memory_full_info_vms,memory_full_info_pfaults,memory_full_info_pageins,memory_full_info_uss,time_period
0,0.0,27.15360256,0.895841088,0.0,0.0,4.472041130065918,499963174912.0,359985909760.0,126965952512.0,768290816.0,7585447936.0,255293.0,0.0,735330304.0,19807621765.0
1,100.5,46.163296256,1.366465792,0.0,0.0,4.476428031921387,499963174912.0,359985934336.0,126965927936.0,769044480.0,7587545088.0,260459.0,0.0,711061504.0,39190757086.0
2,100.4,65.074724864,1.830441984,0.0,0.0,4.446196556091309,499963174912.0,359985934336.0,126965927936.0,763850752.0,7587545088.0,262244.0,0.0,698322944.0,58479768334.0
3,100.5,84.152344576,2.295831296,0.0,0.0,4.4777631759643555,499963174912.0,359985963008.0,126965899264.0,769273856.0,7587545088.0,263884.0,0.0,697643008.0,77934491043.0
4,100.5,103.368138752,2.761850368,0.0,0.0,4.509782791137695,499963174912.0,359986032640.0,126965829632.0,774774784.0,7587545088.0,265724.0,0.0,702918656.0,97523583983.0
5,100.5,122.491969536,3.23239168,0.0,0.0,4.5574188232421875,499963174912.0,359985979392.0,126965882880.0,782958592.0,7587545088.0,268122.0,0.0,706654208.0,117022364003.0
6,100.5,141.573259264,3.698658816,0.0,0.0,4.580950736999512,499963174912.0,359986044928.0,126965817344.0,787001344.0,7587545088.0,269441.0,0.0,710610944.0,136477488432.0
7,100.5,160.719896576,4.162898176,0.0,0.0,4.612064361572266,499963174912.0,359986044928.0,126965817344.0,792346624.0,7595933696.0,271244.0,0.0,715640832.0,155996665707.0
8,100.5,179.812089856,4.630478336,0.0,0.0,4.677772521972656,499963174912.0,359986044928.0,126965817344.0,803635200.0,7596236800.0,274335.0,0.0,724934656.0,175454246803.0
9,100.5,198.886588416,5.096246272,0.0,0.0,4.707884788513184,499963174912.0,359986044928.0,126965817344.0,808808448.0,7596236800.0,275935.0,0.0,729706496.0,194890934254.0
10,100.6,217.983287296,5.564108288,0.0,0.0,4.734396934509277,499963174912.0,359986040832.0,126965821440.0,813363200.0,7597547520.0,277429.0,0.0,734244864.0,214346532558.0
11,100.6,237.203144704,6.033092608,0.0,0.0,4.764103889465332,499963174912.0,359986040832.0,126965821440.0,818466816.0,7597547520.0,279029.0,0.0,739340288.0,233922766952.0
12,100.6,256.320356352,6.502469632,0.0,0.0,4.792332649230957,499963174912.0,359986040832.0,126965821440.0,823316480.0,7598858240.0,280564.0,0.0,744177664.0,253394917782.0
13,100.6,275.536019456,6.975322112,0.0,0.0,4.825234413146973,499963174912.0,359986040832.0,126965821440.0,828968960.0,7598858240.0,282324.0,0.0,749830144.0,272958302964.0
14,100.7,294.817005568,7.447782912,0.0,0.0,4.852700233459473,499963174912.0,359986040832.0,126965821440.0,833687552.0,7599120384.0,283846.0,0.0,754548736.0,292582708084.0
15,100.7,313.995722752,7.91984128,0.0,0.0,4.888916015625,499963174912.0,359987216384.0,126964645888.0,839909376.0,7599120384.0,285609.0,0.0,756527104.0,312105807714.0
16,100.7,333.121748992,8.394927104,0.0,0.0,4.9259185791015625,499963174912.0,359988277248.0,126963585024.0,846266368.0,7599382528.0,287534.0,0.0,760913920.0,331570803820.0
17,100.7,352.371146752,8.866049024,0.0,0.0,4.964923858642578,499963174912.0,359988277248.0,126963585024.0,852967424.0,7599980544.0,289495.0,0.0,767295488.0,351148847153.0
18,100.8,371.602751488,9.339657216,0.0,0.0,5.003476142883301,499963174912.0,359988277248.0,126963585024.0,859590656.0,7600279552.0,291470.0,0.0,773820416.0,370707123838.0
19,100.7,390.78412288,9.810414592,0.0,0.0,5.038547515869141,499963174912.0,359988277248.0,126963585024.0,865615872.0,7600279552.0,293258.0,0.0,779755520.0,390213538486.0
20,100.8,410.206109696,10.290550784,0.0,0.0,5.070757865905762,499963174912.0,359988277248.0,126963585024.0,871149568.0,7600578560.0,294993.0,0.0,785289216.0,409961505960.0
21,100.8,429.433782272,10.762202112,0.0,0.0,5.100679397583008,499963174912.0,359989342208.0,126962520064.0,876290048.0,7600578560.0,296605.0,0.0,790429696.0,429505031143.0
22,100.8,448.572719104,11.234906112,0.0,0.0,5.130720138549805,499963174912.0,359989342208.0,126962520064.0,881451008.0,7600877568.0,298208.0,0.0,795590656.0,448955677778.0
23,100.9,467.904659456,11.709188096,0.0,0.0,5.162596702575684,499963174912.0,359990337536.0,126961524736.0,886927360.0,7600877568.0,299948.0,0.0,801079296.0,468592202088.0
24,100.9,487.194656768,12.18217472,0.0,0.0,5.191659927368164,499963174912.0,359990390784.0,126961471488.0,891920384.0,7601176576.0,301671.0,0.0,806060032.0,488175293789.0
25,100.9,506.510311424,12.662678528,0.0,0.0,5.218720436096191,499963174912.0,359990390784.0,126961471488.0,896569344.0,7601176576.0,303179.0,0.0,810577920.0,507789745237.0
26,101.0,525.879443456,13.14486272,0.0,0.0,5.251049995422363,499963174912.0,359990390784.0,126961471488.0,902123520.0,7601475584.0,304897.0,0.0,816119808.0,527452775393.0
27,101.0,545.22445824,13.623021568,0.0,0.0,5.2956342697143555,499963174912.0,359990390784.0,126961471488.0,909783040.0,7601475584.0,307143.0,0.0,823685120.0,547073529970.0
28,101.0,564.523237376,14.100027392,0.0,0.0,5.3322553634643555,499963174912.0,359990390784.0,126961471488.0,916074496.0,7601774592.0,309268.0,0.0,829952000.0,566650891081.0
29,101.1,583.939719168,14.585623552,0.0,0.0,4.8492431640625,499963174912.0,359990390784.0,126961471488.0,833093632.0,7601774592.0,312901.0,0.0,755052544.0,586339064610.0
30,100.5,603.197145088,15.057529856,0.0,0.0,4.851770401000977,499963174912.0,359990390784.0,126961471488.0,833527808.0,7602073600.0,313327.0,0.0,755179520.0,605964341483.0
31,99.7,603.197800448,15.060361216,0.0,0.0,4.851770401000977,499963174912.0,359990390784.0,126961471488.0,833527808.0,7602073600.0,313327.0,0.0,755179520.0,605967917587.0
